ORF,Ara+2_R_seg1,Ara+2_R_seg2,Ara+2_R_seg3,Ara+2_R_seg4,Ara+2_R_seg5,Ara+2_2K_seg1,Ara+2_2K_seg2,Ara+2_2K_seg3,Ara+2_2K_seg4,Ara+2_2K_seg5,Ara+2_15K_seg1,Ara+2_15K_seg2,Ara+2_15K_seg3,Ara+2_15K_seg4,Ara+2_15K_seg5,Ara-1_R_seg1,Ara-1_R_seg2,Ara-1_R_seg3,Ara-1_2K_seg1,Ara-1_2K_seg2,Ara-1_2K_seg3,Ara-1_15K_seg1,Ara-1_15K_seg2,Ara-1_15K_seg3
ECB_00826,,0.0041741083381973,-0.0081729880304831,,,,,0.0211801609688392,,,,-0.0007405743550681,-0.0360650545343986,,,,-0.0694990044803409,,,0.008088491856552,,,,
ECB_00827,-0.007993627722584,0.0136494468006883,0.060630707805118,0.0378960552369957,0.0023984384160058,0.0119500507576877,-0.0347717115581529,0.0656241114822655,0.01852138039617,-0.0079378867431547,0.0091471442427754,-0.0212665019529759,0.0523821002788807,,,,,-0.0099633984875501,-0.0509822305288275,0.0077114025472522,,,,
ECB_00828,-0.0561783130033272,0.0064359680583657,0.0006895798404613,0.0020726983149974,-0.0034064014895289,-0.0443472700704583,0.0149715293225908,-0.0228319904193905,0.0161371979374849,-0.0023467426125378,,7.02603062038443e-05,0.010670820485881,-0.0379179073014897,-0.0213019285236779,,0.0017930983702369,-0.0089691850735842,-0.0547639336678276,,-0.0203352362804837,,-0.0009255514222818,-0.0978320136294798
ECB_00829,,,-0.0003816137613327,,,,,-0.0256095018021217,,-0.0242523173025319,,,0.0020554511423427,,0.0193325492297851,,-0.0158351283984675,,,-0.010842222637457,,,-0.0392651347709711,
ECB_00830,-0.0048164677091831,,0.0038646423828598,-0.0048706667325733,0.0031337474711999,-0.0265507871240281,,-0.0371905976208983,0.0221300241230176,-0.0074126859830826,0.0078226379115328,-0.0943374106610215,,-0.0129906165548812,0.0017107375676333,0.0268345600563807,-0.0377371428027371,0.0002591076997854,-0.208207395904008,,-0.0603002952281917,,-0.0039188520561781,-0.0129178865804981
ECB_00831,-0.0048871696737322,-0.0236161415737289,0.0359189621415553,0.0050951537942582,,0.0112851226841447,-0.0259350126460937,0.0007777570001085,-0.0224693150882358,-0.035719344974996,0.0008206182173189,0.0127724717605568,,,-0.0267743062638267,-0.0042126348619271,0.0063829491365317,,-0.0441233645362664,-0.0229846667051726,-0.236715234779734,-0.0087653086435272,,
ECB_00832,0.0074630250765637,-0.0031462305137791,-0.0031176585755049,-0.0078785285461856,-0.013002851292787,-0.0079320293748479,0.0001280367818447,7.5736707470429e-05,0.0860150190024149,-0.0145519312174002,-0.0463679656699977,0.0062796916782848,-0.0022734717216631,-0.0009970280271242,-0.0056480124449609,-0.0303244258892574,-0.0010117618321391,0.0321807829501203,-0.0616500649079415,-0.0380052409434033,-0.003280276496413,-0.0175346046772209,-0.005933221617884,0.0119802117758348
ECB_00836,0.0312407765704192,-0.0210011363678759,,,,0.0070134267125308,0.0361059154657784,,,,-0.0007598091728704,,,,,,-0.0149821060503807,,-0.0324020735065538,,,,0.0110400870996609,
ECB_00837,-0.0029216535651595,0.0095052590185205,,0.0295078550924502,,-0.0304617571064194,0.0104347871177223,,0.030218772758492,0.0654363286862569,-0.0082261663537792,0.0165687948757425,,,-0.0657118312255696,,,,-0.036292537601999,,,,,-0.0092135381721077
ECB_00839,,-0.019691076948872,,-0.0323954714379043,,-0.0114051994670685,-0.0198929149979647,-0.025027896941348,-0.0196047007078683,,,,,0.0054577155417258,,-0.0254030630216904,-0.0602870914997823,,,0.0069922884716606,,-0.0054173502386978,-0.0050051561567795,
